Designator,Mid X,Mid Y,Rotation,Layer
LED70,218.335,-99.55,180.0,bottom
LED71,132.608333,-118.65,180.0,bottom
LED72,34.975,-137.65,180.0,bottom
LED73,58.825,-137.65,180.0,bottom
LED74,82.625,-137.65,180.0,bottom
LED75,112.075,-137.65,180.0,bottom
LED76,154.075,-137.65,180.0,bottom
LED77,196.075,-137.65,180.0,bottom
LED78,223.025,-137.65,180.0,bottom
LED79,242.125,-137.65,180.0,bottom
LED8,175.525,-37.65,180.0,bottom
LED80,261.225,-137.65,180.0,bottom
LED81,285.025,-142.35,180.0,bottom
LED82,218.325,-37.625,180.0,bottom
LED83,304.0,-142.5,180.0,bottom
LED84,323.125,-142.45,180.0,bottom
LED9,194.6,-37.6,180.0,bottom
MX1,32.59,-42.71,180.0,bottom
MX10,218.355,-42.7,180.0,bottom
MX11,237.39,-42.72,180.0,bottom
MX12,256.455,-42.725,180.0,bottom
MX13,275.48,-42.725,180.0,bottom
MX14,299.305,-42.725,180.0,bottom
MX15,323.105,-42.725,180.0,bottom
MX16,32.605,-66.525,180.0,bottom
MX17,51.675,-66.55,180.0,bottom
MX18,70.705,-66.545,180.0,bottom
MX19,89.764824,-66.525,180.0,bottom
MX2,56.415,-42.7,180.0,bottom
MX20,108.789824,-66.525,180.0,bottom
MX21,127.865,-66.545,180.0,bottom
MX22,146.875,-66.525,180.0,bottom
MX23,165.95,-66.525,180.0,bottom
MX24,184.989824,-66.525,180.0,bottom
MX25,204.064824,-66.525,180.0,bottom
MX26,223.105,-66.55,180.0,bottom
MX27,242.165,-66.545,180.0,bottom
MX28,261.225,-66.55,180.0,bottom
MX29,289.78,-66.5,180.0,bottom
MX3,75.465,-42.695,180.0,bottom
MX30,323.115,-66.52,180.0,bottom
MX31,37.375,-85.575,180.0,bottom
MX32,39.73,-104.625,180.0,bottom
MX33,61.19,-85.57,180.0,bottom
MX34,65.94,-104.62,180.0,bottom
MX35,80.24,-85.56,180.0,bottom
MX36,84.99,-104.635,180.0,bottom
MX37,99.28,-85.575,180.0,bottom
MX38,104.064824,-104.625,180.0,bottom
MX39,118.325,-85.575,180.0,bottom
MX4,94.53,-42.7,180.0,bottom
MX40,123.089824,-104.625,180.0,bottom
MX41,137.38,-85.575,180.0,bottom
MX42,142.15,-104.625,180.0,bottom
MX43,156.425,-85.57,180.0,bottom
MX44,161.18,-104.625,180.0,bottom
MX45,175.464824,-85.575,180.0,bottom
MX46,180.24,-104.645,180.0,bottom
MX47,194.54,-85.595,180.0,bottom
MX48,199.29,-104.62,180.0,bottom
MX49,213.58,-85.575,180.0,bottom
MX5,113.555,-42.7,180.0,bottom
MX50,218.355,-104.625,180.0,bottom
MX51,232.625,-85.55,180.0,bottom
MX52,237.38,-104.625,180.0,bottom
MX53,251.68,-85.575,180.0,bottom
MX54,256.425,-104.6,180.0,bottom
MX55,270.715,-85.595,180.0,bottom
MX56,287.38,-104.625,180.0,bottom
MX57,294.54,-85.56,180.0,bottom
MX58,323.089824,-104.625,180.0,bottom
MX59,323.115,-85.62,180.0,bottom
MX6,137.355,-42.725,180.0,bottom
MX60,44.48,-123.7,180.0,bottom
MX61,75.465,-123.67,180.0,bottom
MX62,94.505,-123.675,180.0,bottom
MX63,113.565,-123.67,180.0,bottom
MX64,132.625,-123.675,180.0,bottom
MX65,151.655,-123.675,180.0,bottom
MX66,170.705,-123.675,180.0,bottom
MX67,189.75,-123.675,180.0,bottom
MX68,208.83,-123.7,180.0,bottom
MX69,227.855,-123.675,180.0,bottom
MX7,156.425,-42.725,180.0,bottom
MX70,246.945,-123.675,180.0,bottom
MX71,304.04,-128.435,180.0,bottom
MX72,273.1,-123.7,180.0,bottom
MX73,34.98,-142.725,180.0,bottom
MX74,58.78,-142.725,180.0,bottom
MX75,82.605,-142.7,180.0,bottom
MX76,154.045,-142.725,180.0,bottom
MX77,223.105,-142.725,180.0,bottom
MX78,242.155,-142.7,180.0,bottom
MX79,261.22,-142.7,180.0,bottom
MX8,175.489824,-42.7,180.0,bottom
MX80,284.989824,-147.475,180.0,bottom
MX81,304.055,-147.5,180.0,bottom
MX82,323.105,-147.525,180.0,bottom
MX9,194.545,-42.7,180.0,bottom
Q1,25.5625,-140.95,180.0,bottom
Q2,141.31,-135.65,180.0,bottom
Q3,94.2,-134.9,0.0,bottom
R1,38.375,-34.8,270.0,bottom
R10,28.4,-134.425,270.0,bottom
R13,110.08,-147.3,0.0,bottom
R14,110.08,-145.7,0.0,bottom
R15,144.875,-134.29,180.0,bottom
R16,144.875,-136.8,180.0,bottom
R17,137.925,-132.8,180.0,bottom
R18,93.7,-137.9,0.0,bottom
R19,93.7,-140.4,180.0,bottom
R2,50.625,-35.0,90.0,bottom
R20,97.775,-137.9,0.0,bottom
R3,145.4675,-140.6,180.0,bottom
R4,137.0175,-143.7,0.0,bottom
R5,145.4675,-142.2,180.0,bottom
R6,145.475,-145.4,180.0,bottom
R7,137.0175,-145.3,180.0,bottom
R8,26.025,-143.7,0.0,bottom
R9,26.025,-146.21,180.0,bottom
SW1,24.75,-133.25,90.0,bottom
SW2,167.9,-137.3,0.0,bottom
U1,124.8,-147.85,180.0,bottom
U3,140.9625,-144.0625,0.0,bottom
U4,141.0425,-148.1125,0.0,bottom
U5,110.2,-143.55,270.0,bottom
U6,44.6,-42.825,270.0,bottom
